id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,descuento,metodo_pago,canal_venta
1,2025-01-29,365,26,1,3919196,0,Tarjeta Crédito,Página Web
2,2026-03-28,454,41,5,2136354,0,Tarjeta Débito,Marketplace
3,2025-04-03,434,48,2,1836632,10,Tarjeta Crédito,Página Web
4,2025-11-08,354,13,2,1099700,10,Tarjeta Crédito,WhatsApp
5,2025-07-20,338,97,3,144092,0,PSE,WhatsApp
6,2025-06-09,205,65,5,618120,20,Transferencia,Página Web
7,2025-03-14,342,69,1,3996367,10,Transferencia,Tienda Física
8,2024-03-13,388,10,2,1728534,15,Transferencia,WhatsApp
9,2024-05-24,326,54,4,4262489,5,Tarjeta Débito,Marketplace
10,2025-04-16,173,37,4,1648323,5,Transferencia,WhatsApp
11,2026-04-29,165,100,1,3105751,20,Tarjeta Débito,Tienda Física
12,2025-01-26,4,92,3,2217151,0,Efectivo,Tienda Física
13,2025-02-17,69,99,2,4401891,5,Tarjeta Crédito,WhatsApp
14,2024-05-22,462,9,3,962964,0,Transferencia,Página Web
15,2025-07-10,146,62,2,2445468,5,Efectivo,Tienda Física
16,2025-06-19,320,40,1,1325409,10,Transferencia,Marketplace
17,2025-09-21,171,97,1,144092,0,PSE,Página Web
18,2025-02-22,472,54,2,4262489,0,Tarjeta Crédito,Marketplace
19,2024-02-06,332,36,1,1076765,10,Efectivo,Página Web
20,2025-10-03,218,58,1,1290260,20,Tarjeta Crédito,Página Web
21,2025-03-08,240,11,4,4597473,10,PSE,Página Web
22,2026-01-08,367,66,2,2139371,15,Tarjeta Débito,Marketplace
23,2024-09-01,213,86,4,3212628,5,Tarjeta Crédito,Marketplace
24,2025-07-07,213,96,1,2292397,0,Transferencia,WhatsApp
25,2025-08-15,51,93,3,1694686,0,PSE,Tienda Física
26,2025-07-24,447,24,1,4728140,0,Efectivo,Marketplace
27,2025-07-09,66,73,1,1083463,0,Efectivo,Tienda Física
28,2024-07-11,260,75,2,3197969,20,Tarjeta Débito,WhatsApp
29,2024-01-01,316,66,3,2139371,20,Transferencia,Tienda Física
30,2025-03-22,74,86,4,3212628,5,Transferencia,WhatsApp
31,2025-06-09,62,3,3,3672960,5,PSE,Tienda Física
32,2024-10-23,307,83,2,1895435,0,Efectivo,Marketplace
33,2025-10-22,66,52,3,3019382,0,PSE,Marketplace
34,2024-08-22,156,10,1,1728534,0,PSE,Marketplace
35,2025-08-20,137,66,4,2139371,0,Tarjeta Crédito,WhatsApp
36,2024-12-21,419,13,3,1099700,15,Tarjeta Débito,WhatsApp
37,2025-03-23,235,75,3,3197969,10,Tarjeta Débito,WhatsApp
38,2024-02-23,83,6,4,4854910,5,Tarjeta Crédito,Marketplace
39,2024-08-25,294,91,2,635249,0,PSE,Marketplace
40,2025-10-19,442,66,5,2139371,0,PSE,Tienda Física
41,2024-06-10,292,1,5,2164957,0,Transferencia,Página Web
42,2025-05-21,495,39,5,4689225,5,Transferencia,WhatsApp
43,2025-10-20,383,51,5,1470311,5,Tarjeta Crédito,WhatsApp
44,2025-11-16,359,12,5,4548008,0,PSE,Marketplace
45,2026-01-22,165,6,1,4854910,10,PSE,WhatsApp
46,2024-03-02,332,39,1,4689225,0,Transferencia,Marketplace
47,2026-02-21,440,7,5,4560009,0,Tarjeta Crédito,WhatsApp
48,2025-09-11,25,2,4,3555359,0,Tarjeta Crédito,Marketplace
49,2025-05-18,98,34,4,838602,20,Transferencia,WhatsApp
50,2025-08-14,196,38,4,3547481,20,Efectivo,Tienda Física
